tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-16 15:44:00,2020-03-20 13:37:00,93.88333333333334,4,5,76.13333333333334,23.470833333333335,False,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-06 16:07:00,2020-03-09 19:50:00,75.71666666666667,4,5,32.13333333333333,18.929166666666667,False,RECEPTIONIST_OR_FRONT_DESK,2,False,12
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,2020-03-16 15:44:00,2020-03-19 15:29:00,71.75,5,6,51.283333333333324,14.35,False,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 16:19:00,2020-03-07 14:24:00,94.08333333333333,3,5,73.03333333333333,31.36111111111111,False,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 15:12:00,2020-03-13 14:44:00,95.53333333333333,4,5,74.58333333333333,23.883333333333333,False,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 15:12:00,2020-03-12 16:00:00,72.8,6,4,56.31666666666667,12.133333333333333,False,,0,False,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-16 15:44:00,2020-03-18 12:09:00,44.416666666666664,5,5,32.05,8.883333333333333,False,RESIDENCE,0,False,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 16:19:00,2020-03-07 15:19:00,95.0,3,5,73.01666666666667,31.666666666666668,False,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 15:12:00,2020-03-13 14:44:00,95.53333333333333,4,4,75.68333333333332,23.883333333333333,False,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-09 15:12:00,2020-03-10 15:30:00,24.3,4,3,4.983333333333333,6.075,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-04 16:13:00,2020-03-09 14:45:00,118.53333333333333,4,6,78.83333333333333,29.633333333333333,False,RESIDENCE,1,True,13
